state,week,depression,anxiety,addiction,counselling,mental_health,stay_at_home,mask_mandate,gatherings_banned,bars_restaurants_closures,retail_closure,travel_restrictions
Arizona ,2019-09-15,67,86,33,45,39,0,0,0,0,0,0
Arizona ,2019-09-22,66,78,21,53,31,0,0,0,0,0,0
Arizona ,2019-09-29,73,81,24,41,42,0,0,0,0,0,0
Arizona ,2019-10-06,66,76,22,43,58,0,0,0,0,0,0
Arizona ,2019-10-13,67,92,21,43,35,0,0,0,0,0,0
Arizona ,2019-10-20,74,78,20,42,42,0,0,0,0,0,0
Arizona ,2019-10-27,69,77,26,40,33,0,0,0,0,0,0
Arizona ,2019-11-03,74,84,27,50,38,0,0,0,0,0,0
Arizona ,2019-11-10,65,78,23,39,37,0,0,0,0,0,0
Arizona ,2019-11-17,76,80,28,45,39,0,0,0,0,0,0
Arizona ,2019-11-24,54,61,26,25,29,0,0,0,0,0,0
Arizona ,2019-12-01,64,72,23,37,34,0,0,0,0,0,0
Arizona ,2019-12-08,71,71,24,43,29,0,0,0,0,0,0
Arizona ,2019-12-15,56,73,23,34,28,0,0,0,0,0,0
Arizona ,2019-12-22,46,64,19,25,25,0,0,0,0,0,0
Arizona ,2019-12-29,50,68,24,41,22,0,0,0,0,0,0
Arizona ,2020-01-05,61,74,20,45,30,0,0,0,0,0,0
Arizona ,2020-01-12,66,82,22,49,42,0,0,0,0,0,0
Arizona ,2020-01-19,63,68,27,47,45,0,0,0,0,0,0
Arizona ,2020-01-26,71,85,21,41,33,0,0,0,0,0,0
Arizona ,2020-02-02,87,76,29,45,34,0,0,0,0,0,0
Arizona ,2020-02-09,77,65,24,39,35,0,0,0,0,0,0
Arizona ,2020-02-16,75,83,29,39,38,0,0,0,0,0,0
Arizona ,2020-02-23,75,78,28,43,42,0,0,0,0,0,0
Arizona ,2020-03-01,76,62,26,38,41,0,0,0,0,0,0
Arizona ,2020-03-08,68,70,21,42,28,0,0,0,0,0,0
Arizona ,2020-03-15,76,63,14,32,27,0,0,0,0,0,0
Arizona ,2020-03-22,69,81,24,29,27,0,0,0,0,0,0
Arizona ,2020-03-29,90,72,27,29,33,0,0,0,0,0,0
Arizona ,2020-04-05,88,69,25,30,28,1,0,1,1,1,0
Arizona ,2020-04-12,82,75,19,30,34,1,0,1,1,1,1
Arizona ,2020-04-19,87,71,20,27,31,1,0,1,1,1,1
