state,week,depression,anxiety,addiction,counselling,mental_health,stay_at_home,mask_mandate,gatherings_banned,business_closures,travel_restrictions
Hawaii,2019-10-27,47,74,19,29,44,0,0,0,0,0
Hawaii,2019-11-03,62,50,14,26,20,0,0,0,0,0
Hawaii,2019-11-10,48,59,11,46,32,0,0,0,0,0
Hawaii,2019-11-17,58,66,19,32,42,0,0,0,0,0
Hawaii,2019-11-24,50,60,25,13,27,0,0,0,0,0
Hawaii,2019-12-01,61,41,13,34,36,0,0,0,0,0
Hawaii,2019-12-08,55,60,25,34,39,0,0,0,0,0
Hawaii,2019-12-15,51,64,22,20,16,0,0,0,0,0
Hawaii,2019-12-22,57,51,10,14,10,0,0,0,0,0
Hawaii,2019-12-29,47,50,0,21,20,0,0,0,0,0
Hawaii,2020-01-05,46,67,17,42,21,0,0,0,0,0
Hawaii,2020-01-12,63,58,19,32,25,0,0,0,0,0
Hawaii,2020-01-19,75,56,13,14,24,0,0,0,0,0
Hawaii,2020-01-26,42,53,18,25,54,0,0,0,0,0
Hawaii,2020-02-02,58,70,17,24,33,0,0,0,0,0
Hawaii,2020-02-09,67,79,18,28,44,0,0,0,0,0
Hawaii,2020-02-16,54,66,14,22,26,0,0,0,0,0
Hawaii,2020-02-23,49,50,29,24,22,0,0,0,0,0
Hawaii,2020-03-01,72,53,31,30,30,0,0,0,0,0
Hawaii,2020-03-08,72,71,27,16,12,0,0,0,0,0
Hawaii,2020-03-15,62,58,8,5,23,0,0,0,0,0
Hawaii,2020-03-22,77,45,7,17,21,0,0,0,0,1
Hawaii,2020-03-29,45,63,28,15,24,1,1,1,1,1
Hawaii,2020-04-05,68,51,20,19,36,1,1,1,1,1
Hawaii,2020-04-12,46,57,27,12,21,1,1,1,1,1
Hawaii,2020-04-19,76,54,8,30,36,1,1,1,1,1
Hawaii,2020-04-26,90,57,23,22,52,1,1,1,1,1
Hawaii,2020-05-03,77,57,27,29,53,1,1,1,1,1
Hawaii,2020-05-10,67,74,19,34,39,1,1,1,1,1
Hawaii,2020-05-17,72,58,30,25,34,1,1,1,1,1
Hawaii,2020-05-24,37,61,15,26,46,1,1,1,1,1
Hawaii,2020-05-31,42,54,17,26,36,0,1,1,1,1
Hawaii,2020-06-07,54,50,14,18,18,0,1,1,1,1
Hawaii,2020-06-14,53,51,20,21,15,0,1,1,1,1
Hawaii,2020-06-21,43,73,19,17,31,0,1,1,1,1
Hawaii,2020-06-28,41,50,28,31,35,0,1,1,1,1
Hawaii,2020-07-05,66,69,14,24,25,0,1,1,1,1
Hawaii,2020-07-12,77,64,15,20,22,0,1,1,1,1
Hawaii,2020-07-19,50,65,0,16,22,0,1,1,1,1
Hawaii,2020-07-26,42,81,12,28,38,0,1,1,1,1
Hawaii,2020-08-02,32,69,19,43,30,0,1,1,1,1
Hawaii,2020-08-09,51,54,21,24,24,0,1,1,1,1
Hawaii,2020-08-16,41,43,6,29,32,0,1,1,1,1
Hawaii,2020-08-23,63,83,19,30,30,0,1,1,1,1
Hawaii,2020-08-30,54,91,16,24,43,0,1,1,1,1
Hawaii,2020-09-06,56,69,13,55,45,0,1,1,1,1
Hawaii,2020-09-13,86,71,17,30,48,0,1,1,1,1
Hawaii,2020-09-20,65,89,23,23,31,0,1,1,1,1
Hawaii,2020-09-27,54,78,5,27,43,0,1,1,1,1
Hawaii,2020-10-04,67,80,14,29,44,0,1,1,1,1
Hawaii,2020-10-11,41,56,7,18,43,0,1,1,1,1
Hawaii,2020-10-18,64,68,10,40,23,0,1,1,1,1
Hawaii,2020-10-25,47,78,0,19,41,0,1,1,1,1
Hawaii,2020-11-01,50,60,12,15,22,0,1,1,1,1
Hawaii,2020-11-08,36,63,30,20,22,0,1,1,1,1
Hawaii,2020-11-15,54,54,15,35,49,0,1,1,1,1
Hawaii,2020-11-22,39,68,25,18,24,0,1,1,1,1
Hawaii,2020-11-29,50,63,16,21,41,0,1,1,1,1
Hawaii,2020-12-06,67,55,22,17,38,0,1,1,1,1
Hawaii,2020-12-13,38,55,18,27,19,0,1,1,1,1
Hawaii,2020-12-20,40,59,21,7,23,0,1,1,1,1
Hawaii,2020-12-27,27,55,8,18,11,0,1,1,1,1
Hawaii,2021-01-03,40,70,20,26,27,0,1,1,1,1
Hawaii,2021-01-10,44,81,29,50,22,0,1,1,1,1
Hawaii,2021-01-17,33,56,17,19,27,0,1,1,1,1
Hawaii,2021-01-24,41,61,22,18,26,0,1,1,1,1
Hawaii,2021-01-31,73,72,13,31,29,0,1,1,1,1
Hawaii,2021-02-07,38,73,0,11,24,0,1,1,1,1
Hawaii,2021-02-14,52,80,12,20,34,0,1,1,1,1
Hawaii,2021-02-21,35,85,13,33,39,0,1,1,1,1
Hawaii,2021-02-28,47,57,25,23,30,0,1,1,1,1
Hawaii,2021-03-07,64,77,17,39,33,0,1,1,1,1
Hawaii,2021-03-14,38,65,14,21,29,0,1,1,1,1
Hawaii,2021-03-21,58,69,16,19,20,0,1,1,1,1
Hawaii,2021-03-28,29,47,10,37,30,0,1,1,1,1
Hawaii,2021-04-04,34,88,26,37,33,0,1,1,1,1
Hawaii,2021-04-11,28,71,25,32,43,0,1,1,1,1
Hawaii,2021-04-18,42,62,19,20,43,0,1,1,1,1
Hawaii,2021-04-25,56,85,12,21,31,0,1,1,1,1
Hawaii,2021-05-02,31,80,14,17,35,0,1,1,1,1
Hawaii,2021-05-09,60,57,0,29,38,0,1,1,1,1
Hawaii,2021-05-16,38,58,0,32,52,0,1,1,1,1
Hawaii,2021-05-23,36,54,25,24,15,0,1,1,1,1
Hawaii,2021-05-30,39,65,19,26,24,0,1,1,1,1
Hawaii,2021-06-06,33,36,23,13,27,0,1,1,1,1
Hawaii,2021-06-13,35,61,9,25,23,0,1,1,1,1
Hawaii,2021-06-20,49,78,11,28,26,0,1,1,1,1
Hawaii,2021-06-27,47,73,13,35,24,0,1,1,1,1
Hawaii,2021-07-04,46,63,14,28,27,0,1,1,1,1
Hawaii,2021-07-11,45,55,7,23,36,0,1,1,1,1
Hawaii,2021-07-18,58,74,26,23,29,0,1,1,1,1
Hawaii,2021-07-25,34,65,13,13,30,0,1,1,1,1
Hawaii,2021-08-01,49,76,13,20,25,0,1,1,1,1
Hawaii,2021-08-08,23,59,16,30,35,0,1,1,1,1
Hawaii,2021-08-15,65,63,16,34,33,0,1,1,1,1
Hawaii,2021-08-22,53,76,14,24,23,0,1,1,1,1
Hawaii,2021-08-29,40,81,41,27,36,0,1,1,1,1
Hawaii,2021-09-05,41,88,17,14,40,0,1,1,1,1
Hawaii,2021-09-12,30,75,32,9,47,0,1,1,1,1
Hawaii,2021-09-19,39,78,19,36,31,0,1,1,1,1
Hawaii,2021-09-26,51,65,33,14,44,0,1,1,1,1
Hawaii,2021-10-03,44,87,13,17,29,0,1,1,1,1
Hawaii,2021-10-10,30,78,40,0,40,0,1,1,1,1
Hawaii,2021-10-17,39,62,18,46,34,0,1,1,1,1
Hawaii,2021-10-24,38,87,16,43,33,0,1,1,1,1
Hawaii,2021-10-31,46,71,14,33,36,0,1,1,1,1
Hawaii,2021-11-07,96,64,9,28,38,0,1,1,1,1
Hawaii,2021-11-14,46,69,19,43,47,0,1,1,1,1
Hawaii,2021-11-21,45,55,7,25,36,0,1,1,1,1
Hawaii,2021-11-28,37,73,32,29,58,0,1,1,1,1
Hawaii,2021-12-05,42,65,10,39,27,0,1,1,1,1
Hawaii,2021-12-12,73,69,25,46,33,0,1,1,1,1
Hawaii,2021-12-19,40,57,16,15,24,0,1,1,1,1
Hawaii,2021-12-26,42,64,17,17,17,0,1,1,1,1
Hawaii,2022-01-02,37,59,16,12,0,0,1,1,1,1
Hawaii,2022-01-09,34,51,15,26,14,0,1,1,1,1
