week,depression,anxiety,addiction,counselling,mental_health,stay_at_home,mask_mandate,gatherings_banned,business_closures,travel_restrictions
2019-04-07,62.2,71.4,29.0,34.0,29.8,0.0,0.0,0.0,0.0,0.0
2019-04-14,58.2,70.8,30.6,38.6,27.2,0.0,0.0,0.0,0.0,0.0
2019-04-21,61.6,60.8,27.2,33.0,28.8,0.0,0.0,0.0,0.0,0.0
2019-04-28,66.4,67.2,23.6,39.0,36.2,0.0,0.0,0.0,0.0,0.0
2019-05-05,58.2,64.6,18.6,32.2,32.4,0.0,0.0,0.0,0.0,0.0
2019-05-12,64.0,62.0,22.2,33.2,33.2,0.0,0.0,0.0,0.0,0.0
2019-05-19,53.6,57.0,22.0,33.4,27.0,0.0,0.0,0.0,0.0,0.0
2019-05-26,46.8,54.6,24.4,31.8,21.8,0.0,0.0,0.0,0.0,0.0
2019-06-02,49.0,60.8,23.6,33.8,27.0,0.0,0.0,0.0,0.0,0.0
2019-06-09,45.4,54.6,22.6,34.0,20.4,0.0,0.0,0.0,0.0,0.0
2019-06-16,47.8,58.6,21.0,33.6,28.6,0.0,0.0,0.0,0.0,0.0
2019-06-23,43.4,64.6,22.2,31.0,26.6,0.0,0.0,0.0,0.0,0.0
2019-06-30,43.0,55.6,19.2,27.6,23.0,0.0,0.0,0.0,0.0,0.0
2019-07-07,47.4,65.8,22.8,36.0,26.6,0.0,0.0,0.0,0.0,0.0
2019-07-14,43.6,59.4,24.2,34.8,29.2,0.0,0.0,0.0,0.0,0.0
2019-07-21,54.2,63.2,19.2,34.4,24.6,0.0,0.0,0.0,0.0,0.0
2019-07-28,47.6,65.0,24.8,31.4,27.4,0.0,0.0,0.0,0.0,0.0
2019-08-04,44.2,64.6,20.2,36.6,31.8,0.0,0.0,0.0,0.0,0.0
2019-08-11,43.0,63.8,21.0,37.8,23.2,0.0,0.0,0.0,0.0,0.0
2019-08-18,43.2,67.2,18.8,38.4,23.6,0.0,0.0,0.0,0.0,0.0
2019-08-25,47.8,59.8,18.8,35.6,31.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,46.6,63.2,19.4,31.4,29.8,0.0,0.0,0.0,0.0,0.0
2019-09-08,53.8,61.4,19.6,38.8,31.8,0.0,0.0,0.0,0.0,0.0
2019-09-15,53.2,65.8,18.4,31.8,33.6,0.0,0.0,0.0,0.0,0.0
2019-09-22,51.0,64.4,20.0,37.4,31.0,0.0,0.0,0.0,0.0,0.0
2019-09-29,56.6,62.0,19.2,37.2,29.8,0.0,0.0,0.0,0.0,0.0
