state,week,depression,anxiety,addiction,counselling,mental_health,stay_at_home,mask_mandate,gatherings_banned,buisness_closures,travel_restrictions
Alaska,2019-08-18,24,35,0,37,41,0,0,0,0,0
Alaska,2019-08-25,7,54,14,36,36,0,0,0,0,0
Alaska,2019-09-01,33,29,21,30,47,0,0,0,0,0
Alaska,2019-09-08,37,44,20,34,32,0,0,0,0,0
Alaska,2019-09-15,57,48,22,19,26,0,0,0,0,0
Alaska,2019-09-22,35,58,18,52,30,0,0,0,0,0
Alaska,2019-09-29,48,53,0,9,19,0,0,0,0,0
Alaska,2019-10-06,47,46,21,38,47,0,0,0,0,0
Alaska,2019-10-13,55,46,27,27,46,0,0,0,0,0
Alaska,2019-10-20,34,48,0,45,39,0,0,0,0,0
Alaska,2019-10-27,33,60,15,43,45,0,0,0,0,0
Alaska,2019-11-03,17,20,0,29,31,0,0,0,0,0
Alaska,2019-11-10,15,49,16,38,30,0,0,0,0,0
Alaska,2019-11-17,47,33,27,41,16,0,0,0,0,0
Alaska,2019-11-24,61,52,18,35,21,0,0,0,0,0
Alaska,2019-12-01,0,30,18,60,22,0,0,0,0,0
Alaska,2019-12-08,38,41,22,12,33,0,0,0,0,0
Alaska,2019-12-15,38,56,13,41,17,0,0,0,0,0
Alaska,2019-12-22,23,39,0,14,23,0,0,0,0,0
Alaska,2019-12-29,0,21,14,48,24,0,0,0,0,0
Alaska,2020-01-05,57,64,15,31,0,0,0,0,0,0
Alaska,2020-01-12,47,48,12,29,42,0,0,0,0,0
Alaska,2020-01-19,25,45,12,40,30,0,0,0,0,0
Alaska,2020-01-26,42,57,8,69,52,0,0,0,0,0
Alaska,2020-02-02,25,27,25,39,57,0,0,0,0,0
Alaska,2020-02-09,28,41,0,36,29,0,0,0,0,0
Alaska,2020-02-16,45,54,9,37,57,0,0,0,0,0
Alaska,2020-02-23,40,27,30,59,20,0,0,0,0,0
Alaska,2020-03-01,57,40,27,45,22,0,0,0,0,0
Alaska,2020-03-08,42,41,8,28,26,0,0,0,0,0
Alaska,2020-03-15,41,28,7,26,22,0,0,0,0,0
Alaska,2020-03-22,37,46,17,26,10,0,0,0,0,1
Alaska,2020-03-29,47,37,0,7,27,1,0,1,1,1
Alaska,2020-04-05,46,19,0,19,25,1,0,1,1,1
Alaska,2020-04-12,61,26,12,21,26,1,0,1,1,1
Alaska,2020-04-19,10,45,19,56,46,1,0,1,1,1
Alaska,2020-04-26,34,34,25,36,28,0,0,1,1,1
Alaska,2020-05-03,15,21,15,28,29,0,0,1,1,1
Alaska,2020-05-10,44,35,17,11,28,0,0,1,1,1
Alaska,2020-05-17,35,39,18,30,32,0,0,1,1,1
Alaska,2020-05-24,0,54,18,29,22,0,0,0,0,1
Alaska,2020-05-31,32,31,19,39,53,0,0,0,0,1
Alaska,2020-06-07,21,35,0,41,43,0,0,0,0,1
Alaska,2020-06-14,33,61,13,15,21,0,0,0,0,1
Alaska,2020-06-21,32,57,11,33,22,0,0,0,0,1
Alaska,2020-06-28,66,40,12,32,27,0,0,0,0,1
Alaska,2020-07-05,21,43,11,46,34,0,0,0,0,1
Alaska,2020-07-12,58,35,0,53,44,0,0,0,0,1
Alaska,2020-07-19,32,40,28,29,15,0,0,0,0,1
Alaska,2020-07-26,41,24,15,48,20,0,0,0,0,1
Alaska,2020-08-02,27,30,8,16,37,0,0,0,0,1
Alaska,2020-08-09,48,38,0,41,36,0,0,0,0,1
Alaska,2020-08-16,29,51,34,50,53,0,0,0,0,1
Alaska,2020-08-23,30,48,12,21,26,0,0,0,0,1
Alaska,2020-08-30,42,48,0,23,38,0,0,0,0,1
Alaska,2020-09-06,52,34,26,27,16,0,0,0,0,1
Alaska,2020-09-13,44,39,8,44,38,0,0,0,0,1
Alaska,2020-09-20,32,57,14,31,26,0,0,0,0,1
Alaska,2020-09-27,27,59,15,40,32,0,0,0,0,1
Alaska,2020-10-04,18,41,19,23,55,0,0,0,0,1
Alaska,2020-10-11,61,52,22,36,22,0,0,0,0,1
Alaska,2020-10-18,0,33,18,30,17,0,0,0,0,1
Alaska,2020-10-25,20,51,21,29,32,0,0,0,0,1
Alaska,2020-11-01,44,38,14,19,34,0,0,0,0,1
Alaska,2020-11-08,43,41,21,36,0,0,0,0,0,1
Alaska,2020-11-15,56,57,0,37,37,0,0,0,0,1
Alaska,2020-11-22,41,13,16,41,34,0,0,0,0,1
Alaska,2020-11-29,35,58,9,37,27,0,0,0,0,1
Alaska,2020-12-06,21,45,14,16,32,0,0,0,0,1
Alaska,2020-12-13,50,66,31,32,37,0,0,0,0,1
Alaska,2020-12-20,25,38,30,9,28,0,0,0,0,1
Alaska,2020-12-27,58,37,18,24,18,0,0,0,0,1
Alaska,2021-01-03,39,34,24,34,32,0,0,0,0,1
Alaska,2021-01-10,25,38,22,0,20,0,0,0,0,1
Alaska,2021-01-17,10,29,20,27,18,0,0,0,0,1
Alaska,2021-01-24,32,76,10,36,22,0,0,0,0,1
Alaska,2021-01-31,35,54,29,28,0,0,0,0,0,1
Alaska,2021-02-07,23,77,0,43,48,0,0,0,0,1
Alaska,2021-02-14,15,77,0,30,16,0,0,0,0,1
Alaska,2021-02-21,38,64,0,59,32,0,0,0,0,0
Alaska,2021-02-28,93,85,0,26,25,0,0,0,0,0
Alaska,2021-03-07,48,25,34,39,31,0,0,0,0,0
Alaska,2021-03-14,35,33,14,26,49,0,0,0,0,0
Alaska,2021-03-21,0,38,0,41,35,0,0,0,0,0
Alaska,2021-03-28,13,53,28,40,17,0,0,0,0,0
Alaska,2021-04-04,46,41,0,11,33,0,0,0,0,0
Alaska,2021-04-11,0,63,27,40,19,0,0,0,0,0
Alaska,2021-04-18,29,33,21,67,23,0,0,0,0,0
Alaska,2021-04-25,29,38,19,25,23,0,0,0,0,0
Alaska,2021-05-02,22,41,0,46,29,0,0,0,0,0
Alaska,2021-05-09,32,44,20,29,24,0,0,0,0,0
Alaska,2021-05-16,58,52,9,67,23,0,0,0,0,0
Alaska,2021-05-23,38,36,9,72,30,0,0,0,0,0
Alaska,2021-05-30,36,48,19,44,19,0,0,0,0,0
Alaska,2021-06-06,47,54,30,25,40,0,0,0,0,0
Alaska,2021-06-13,50,21,0,33,10,0,0,0,0,0
Alaska,2021-06-20,26,27,0,32,41,0,0,0,0,0
Alaska,2021-06-27,36,55,21,30,22,0,0,0,0,0
Alaska,2021-07-04,45,30,0,25,37,0,0,0,0,0
Alaska,2021-07-11,24,32,32,30,29,0,0,0,0,0
Alaska,2021-07-18,27,40,37,38,25,0,0,0,0,0
Alaska,2021-07-25,0,21,0,35,14,0,0,0,0,0
Alaska,2021-08-01,35,47,0,16,28,0,0,0,0,0
Alaska,2021-08-08,40,26,0,29,9,0,0,0,0,0
Alaska,2021-08-15,27,42,0,34,15,0,0,0,0,0
Alaska,2021-08-22,20,63,19,40,40,0,0,0,0,0
Alaska,2021-08-29,31,46,0,40,33,0,0,0,0,0
Alaska,2021-09-05,32,37,13,53,32,0,0,0,0,0
Alaska,2021-09-12,34,66,34,41,21,0,0,0,0,0
Alaska,2021-09-19,31,52,0,33,48,0,0,0,0,0
Alaska,2021-09-26,28,47,13,20,34,0,0,0,0,0
Alaska,2021-10-03,42,41,0,51,18,0,0,0,0,0
Alaska,2021-10-10,56,64,30,81,46,0,0,0,0,0
Alaska,2021-10-17,13,71,10,46,75,0,0,0,0,0
