state,week,depression,anxiety,addiction,counselling,mental_health,stay_at_home,mask_mandate,gatherings_banned,business_closures,travel_restrictions
South Dakota,2019-10-27,50,59,39,46,12,0,0,0,0,0
South Dakota,2019-11-03,42,62,20,32,15,0,0,0,0,0
South Dakota,2019-11-10,59,73,30,23,30,0,0,0,0,0
South Dakota,2019-11-17,74,57,34,17,36,0,0,0,0,0
South Dakota,2019-11-24,27,51,34,15,22,0,0,0,0,0
South Dakota,2019-12-01,42,35,29,28,37,0,0,0,0,0
South Dakota,2019-12-08,76,55,30,26,22,0,0,0,0,0
South Dakota,2019-12-15,0,74,25,33,27,0,0,0,0,0
South Dakota,2019-12-22,15,36,0,0,15,0,0,0,0,0
South Dakota,2019-12-29,36,42,23,0,26,0,0,0,0,0
South Dakota,2020-01-05,69,24,12,18,9,0,0,0,0,0
South Dakota,2020-01-12,67,60,21,41,25,0,0,0,0,0
South Dakota,2020-01-19,71,64,0,26,36,0,0,0,0,0
South Dakota,2020-01-26,58,58,39,52,35,0,0,0,0,0
South Dakota,2020-02-02,53,49,23,55,21,0,0,0,0,0
South Dakota,2020-02-09,29,59,13,51,23,0,0,0,0,0
South Dakota,2020-02-16,61,55,29,57,20,0,0,0,0,0
South Dakota,2020-02-23,51,56,27,47,28,0,0,0,0,0
South Dakota,2020-03-01,39,54,0,54,27,0,0,0,0,0
South Dakota,2020-03-08,44,46,25,27,16,0,0,0,0,0
South Dakota,2020-03-15,64,46,17,39,19,0,0,0,0,0
South Dakota,2020-03-22,55,53,13,39,7,0,0,0,0,0
South Dakota,2020-03-29,51,47,6,7,27,0,0,0,0,0
South Dakota,2020-04-05,46,59,10,26,23,0,0,0,0,0
South Dakota,2020-04-12,62,48,22,31,19,0,0,0,0,0
South Dakota,2020-04-19,58,37,12,17,22,0,0,0,0,0
South Dakota,2020-04-26,30,37,18,34,24,0,0,0,0,0
South Dakota,2020-05-03,44,41,14,28,13,0,0,0,0,0
South Dakota,2020-05-10,35,51,30,26,15,0,0,0,0,0
South Dakota,2020-05-17,28,62,17,36,30,0,0,0,0,0
South Dakota,2020-05-24,47,67,20,35,22,0,0,0,0,0
South Dakota,2020-05-31,12,46,35,32,37,0,0,0,0,0
South Dakota,2020-06-07,47,47,12,30,20,0,0,0,0,0
South Dakota,2020-06-14,28,61,29,27,13,0,0,0,0,0
South Dakota,2020-06-21,24,56,0,37,8,0,0,0,0,0
South Dakota,2020-06-28,37,38,32,45,43,0,0,0,0,0
South Dakota,2020-07-05,30,44,18,27,24,0,0,0,0,0
South Dakota,2020-07-12,31,48,25,17,22,0,0,0,0,0
South Dakota,2020-07-19,19,33,0,40,17,0,0,0,0,0
South Dakota,2020-07-26,44,39,17,44,19,0,0,0,0,0
South Dakota,2020-08-02,34,52,12,43,34,0,0,0,0,0
South Dakota,2020-08-09,31,48,20,60,8,0,0,0,0,0
South Dakota,2020-08-16,27,70,25,38,25,0,0,0,0,0
South Dakota,2020-08-23,34,41,22,34,46,0,0,0,0,0
South Dakota,2020-08-30,38,46,18,28,16,0,0,0,0,0
South Dakota,2020-09-06,45,68,29,41,24,0,0,0,0,0
South Dakota,2020-09-13,30,42,17,47,43,0,0,0,0,0
South Dakota,2020-09-20,57,43,27,30,28,0,0,0,0,0
South Dakota,2020-09-27,40,56,17,38,31,0,0,0,0,0
South Dakota,2020-10-04,44,35,22,40,64,0,0,0,0,0
South Dakota,2020-10-11,36,53,13,28,21,0,0,0,0,0
South Dakota,2020-10-18,37,47,32,36,46,0,0,0,0,0
South Dakota,2020-10-25,38,55,16,32,16,0,0,0,0,0
South Dakota,2020-11-01,40,25,14,17,13,0,0,0,0,0
South Dakota,2020-11-08,44,62,15,83,26,0,0,0,0,0
South Dakota,2020-11-15,60,51,22,38,24,0,0,0,0,0
South Dakota,2020-11-22,40,51,18,23,37,0,0,0,0,0
South Dakota,2020-11-29,39,61,23,61,21,0,0,0,0,0
South Dakota,2020-12-06,43,52,10,35,32,0,0,0,0,0
South Dakota,2020-12-13,38,66,18,54,36,0,0,0,0,0
South Dakota,2020-12-20,0,42,0,0,0,0,0,0,0,0
South Dakota,2020-12-27,39,25,0,35,9,0,0,0,0,0
South Dakota,2021-01-03,53,62,8,34,21,0,0,0,0,0
South Dakota,2021-01-10,33,66,18,44,27,0,0,0,0,0
South Dakota,2021-01-17,33,72,25,57,27,0,0,0,0,0
South Dakota,2021-01-24,45,46,15,56,29,0,0,0,0,0
South Dakota,2021-01-31,40,39,13,28,33,0,0,0,0,0
South Dakota,2021-02-07,24,28,20,31,57,0,0,0,0,0
South Dakota,2021-02-14,37,50,19,30,21,0,0,0,0,0
South Dakota,2021-02-21,31,49,30,34,35,0,0,0,0,0
South Dakota,2021-02-28,46,34,32,37,0,0,0,0,0,0
South Dakota,2021-03-07,25,75,20,39,18,0,0,0,0,0
South Dakota,2021-03-14,37,51,12,73,34,0,0,0,0,0
South Dakota,2021-03-21,37,37,13,36,41,0,0,0,0,0
South Dakota,2021-03-28,24,42,47,56,46,0,0,0,0,0
South Dakota,2021-04-04,34,47,20,38,18,0,0,0,0,0
South Dakota,2021-04-11,25,73,13,48,40,0,0,0,0,0
