week,depression,anxiety,addiction,counselling,mental_health,stay_at_home,mask_mandate,gatherings_banned,business_closures,travel_restrictions
2019-02-10,70.5,61.1,24.0,30.5,30.3,0.0,0.0,0.0,0.0,0.0
2019-02-17,67.8,70.7,22.3,38.1,33.7,0.0,0.0,0.0,0.0,0.0
2019-02-24,65.4,70.3,23.0,36.7,34.7,0.0,0.0,0.0,0.0,0.0
2019-03-03,69.4,67.7,24.2,37.0,33.1,0.0,0.0,0.0,0.0,0.0
2019-03-10,68.1,69.7,19.6,42.1,32.4,0.0,0.0,0.0,0.0,0.0
2019-03-17,67.6,67.7,21.5,35.7,30.0,0.0,0.0,0.0,0.0,0.0
2019-03-24,65.1,72.7,25.6,34.7,37.4,0.0,0.0,0.0,0.0,0.0
2019-03-31,70.6,67.3,25.3,34.7,35.9,0.0,0.0,0.0,0.0,0.0
2019-04-07,59.6,70.4,27.7,37.2,36.1,0.0,0.0,0.0,0.0,0.0
2019-04-14,60.9,70.9,31.0,40.6,33.9,0.0,0.0,0.0,0.0,0.0
2019-04-21,64.0,64.5,25.8,36.2,33.1,0.0,0.0,0.0,0.0,0.0
2019-04-28,66.7,65.9,24.8,39.8,40.4,0.0,0.0,0.0,0.0,0.0
2019-05-05,62.4,66.1,20.3,34.9,39.0,0.0,0.0,0.0,0.0,0.0
2019-05-12,62.6,60.2,23.9,35.5,39.9,0.0,0.0,0.0,0.0,0.0
2019-05-19,62.7,60.8,26.3,31.7,32.9,0.0,0.0,0.0,0.0,0.0
2019-05-26,52.8,60.6,24.8,31.4,29.3,0.0,0.0,0.0,0.0,0.0
2019-06-02,53.8,63.2,23.1,37.8,28.8,0.0,0.0,0.0,0.0,0.0
2019-06-09,49.8,57.4,20.4,35.8,27.7,0.0,0.0,0.0,0.0,0.0
2019-06-16,46.2,59.8,21.7,37.3,34.4,0.0,0.0,0.0,0.0,0.0
2019-06-23,46.5,67.2,22.2,33.4,31.2,0.0,0.0,0.0,0.0,0.0
2019-06-30,45.7,59.4,21.8,28.0,26.5,0.0,0.0,0.0,0.0,0.0
2019-07-07,48.2,64.6,23.4,36.7,29.2,0.0,0.0,0.0,0.0,0.0
2019-07-14,46.8,62.2,24.0,35.5,33.0,0.0,0.0,0.0,0.0,0.0
2019-07-21,53.9,67.5,24.0,34.1,29.4,0.0,0.0,0.0,0.0,0.0
2019-07-28,50.1,70.0,24.8,37.0,29.2,0.0,0.0,0.0,0.0,0.0
2019-08-04,52.7,69.3,21.0,36.8,33.9,0.0,0.0,0.0,0.0,0.0
2019-08-11,44.3,65.4,21.5,38.9,27.7,0.0,0.0,0.0,0.0,0.0
2019-08-18,46.6,66.9,18.9,37.5,29.3,0.0,0.0,0.0,0.0,0.0
2019-08-25,46.2,65.4,19.9,37.8,36.6,0.0,0.0,0.0,0.0,0.0
